Entity,Code,Year,Severely food insecure (prevalence) (%)
Afghanistan,AFG,2015,16.1
Albania,ALB,2015,9.9
Armenia,ARM,2015,2.7
Australia,AUS,2015,2.8
Australia and New Zealand,,2015,2.8
Belarus,BLR,2015,0.6
Bosnia and Herzegovina,BIH,2015,1.4
Botswana,BWA,2015,35
Brazil,BRA,2015,0.3
Burkina Faso,BFA,2015,19.1
Cambodia,KHM,2015,14.6
Cameroon,CMR,2015,27.6
Canada,CAN,2015,0.6
Central America,,2015,5.7
Central Asia,,2015,2.1
Central and South Asia,,2015,12.6
Chile,CHL,2015,3.8
China,CHN,2015,0.6
Costa Rica,CRI,2015,4.8
Croatia,HRV,2015,0.7
Czech Republic,CZE,2015,0.9
Denmark,DNK,2015,0.8
East Asia,,2015,0.6
East and Southeast Asia,,2015,2.4
Eastern Africa,,2015,32.2
Eastern Europe,,2015,1.2
Ecuador,ECU,2015,6.6
El Salvador,SLV,2015,12.3
Estonia,EST,2015,0.3
Europe,,2015,1.6
Europe and North America,,2015,1.4
France,FRA,2015,1.4
Germany,DEU,2015,1
Ghana,GHA,2015,24.9
Greece,GRC,2015,2.6
Guatemala,GTM,2015,11
Hungary,HUN,2015,1.2
Ireland,IRL,2015,3.9
Israel,ISR,2015,1.1
Italy,ITA,2015,1
Japan,JPN,2015,0.4
Jordan,JOR,2015,12.7
Kazakhstan,KAZ,2015,1.1
Landlocked developing countries,,2015,23.2
Latvia,LVA,2015,0.6
Least developed countries,,2015,23.3
Lithuania,LTU,2015,2.3
Luxembourg,LUX,2015,2
Mauritius,MUS,2015,5
Mexico,MEX,2015,3.3
Middle Africa,,2015,32.8
Montenegro,MNE,2015,1.8
Myanmar,MMR,2015,2.1
Netherlands,NLD,2015,1.4
Nigeria,NGA,2015,24.5
North Africa and West Asia,,2015,11
North America,,2015,1
Northern Africa,,2015,12.2
Northern Europe,,2015,3.2
Norway,NOR,2015,1.2
Palestine,PSE,2015,9.5
Portugal,PRT,2015,4.1
Serbia,SRB,2015,1.3
Seychelles,SYC,2015,3.2
Slovakia,SVK,2015,1.1
South Africa,ZAF,2015,22.5
South America,,2015,5.1
South Asia,,2015,12.9
South Sudan,SSD,2015,83.4
Southeast Asia,,2015,7.1
Southern Africa,,2015,24.8
Southern Europe,,2015,1.6
Spain,ESP,2015,1.1
Sub-Saharan Africa,,2015,29.3
Sweden,SWE,2015,0.8
Switzerland,CHE,2015,1.5
Tajikistan,TJK,2015,3.3
Togo,TGO,2015,32.4
United Kingdom,GBR,2015,4.2
United States,USA,2015,1
Vietnam,VNM,2015,2.6
West Asia,,2015,9.8
Western Africa,,2015,25.8
Western Europe,,2015,1.4
World,OWID_WRL,2015,9.1
Yemen,YEM,2015,12.6